"priref","term","termbeschrijving"
"1","Nederlands","Verwijst naar de cultuur van de moderne natie der Nederlanden, of in het algemeen naar de culturen die hebben bestaan op hetzelfde grondgebied in Noordwest-Europa aan de Noordzee. De term ‘Hollands’ wordt vaak gebruikt om de cultuur van de noordelijke historische Nederlanden te onderscheiden van ‘Vlaams’, waarmee wordt verwezen naar de cultuur van de zuidelijke Nederlanden of Vlaanderen. Binnen het RKD heeft deze term betrekking op Nederlandse kunst van na 1800 en op kunstenaars geboren na 1775 in Nederland of elders maar die daar zijn gevormd. Gebruik ""Noord-Nederlands"" voor kunst van voor 1800 en voor kunstenaars geboren vóór 1775 in de Noordelijke Nederlanden of elders maar die daar zijn gevormd."
"4","Noord-Nederlands","Nationality, style, and culture of the area roughly comparable to the modern Netherlands, not including Flanders, during the period ca. 800 - 1600. Binnen het RKD heeft deze term betrekking op kunst van voor 1800 en op kunstenaars geboren vóór 1775 in de Noordelijke Nederlanden of elders maar die daar zijn gevormd."
"6","schilder","Verwijst naar personen die de schilderkunst beoefenen, hetgeen wil zeggen dat zij in vloeistof gesuspendeerd pigment aanbrengen op een oppervlak om daarmee een expressief of communicatief beeld te scheppen. Gebruik 'huisschilders' voor personen die verf aanbrengen om oppervlakken te beschermen of een kleur te geven."
"7","tekenaar","Personen bekwaam in de tekenkunst."
"12","beeldhouwer","Kunstenaars die zijn gespecialiseerd in het scheppen van beelden en vormen die hoofdzakelijk driedimensionaal worden uitgevoerd, vaak van groot of middelgroot formaat, in het medium steen, hout of metaal. De term kan ook verwijzen naar kunstenaars die werk in reliëf of intaglio uitvoeren. Gebruik 'beeldsnijders' voor kunstenaars die kleine werken vervaardigen, of voor ambachtslieden die driedimensionale vormen vervaardigen welke niet als kunst worden beschouwd."
"40","graveur (prentkunstenaar)","Te gebruiken voor personen die het drukprocedé graveren beoefenen. Gebruik 'graveurs (insnijders)' voor personen die tekens insnijden op de oppervlakte van harde materialen die niet voor het printen worden gebruikt."
"43","architect","Zij die architectuur hebben gestudeerd of beoefenen."
"53","Duits","Verwijst naar de cultuur van de moderne natie Duitsland of meer in het algemeen naar de culturen die hebben bestaan op het grondgebied van dit Centraal-Europese land. De term kan ook in bredere zin verwijzen naar de culturen van vroegere bewoners of verwante volkeren in Centraal- en Noord-Europa, die dialecten spraken waaruit de Germaanse en Teutoonse talen zijn voortgekomen."
"57","Noors","Verwijst naar de cultuur van de moderne natie Noorwegen, of meer algemeen naar de culturen die het westelijk deel van het Scandinavisch schiereiland in Noordwest-Europa hebben bewoond."
"64","Deens","Verwijst naar de cultuur van de moderne natie Denemarken of in het algemeen naar de culturen in het deel van Noordwest-Europa ten noorden van Duitsland. De term wordt vaak gebruikt om te verwijzen naar de cultuur van de historische Noormannen, een Scandinavische tak van de Teutonen. Soms gebruikt men de term ook om te verwijzen naar de cultuur van alle Scandinaviërs die Engeland veroverden tussen de 9de en 11de eeuw n.Chr."
"104","Italiaans","Verwijst naar de cultuur van de moderne natie Italië, of in het algemeen naar de culturen die (hebben) bestaan op het laarsvormige schiereiland in de Middellandse Zee."
"126","modeontwerper","Personen die zich bezighouden met het ontwerpen van mode."
"147","Belgisch","Verwijst naar de cultuur van België, ofwel de tegenwoordige staat die is gesticht in 1830 en bestaat uit de provincies van de Nederlanden die worden bevloeid door de Maas en de Schelde, ofwel het oude land van de stammen der Belgae, dat zich uitstrekte van de Marne en de Seine tot de Rijn. Binnen het RKD heeft deze term betrekking op kunst van na 1800 en op kunstenaars die zijn geboren na 1775 in het huidige België of die daar langere tijd geleefd hebben. Gebruik ""Zuid-Nederlands"" voor kunstenaars geboren voor 1775 of voor kunst van voor 1800."
"174","Russisch","Verwijst naar de cultuur van het huidige Rusland, of naar de culturen die hebben bestaan op het grondgebied van het historische Rusland in Oost-Europa en noordelijk en westelijk Azië. De term kan ook worden gebruikt om te verwijzen naar de grotere groep culturen die overheerst werden door de historische Sovjet-Unie."
"177","Hongaars","Verwijst naar de cultuur van de moderne natie Hongarije, of verwijst in het algemeen naar de culturen die zich op het grondgebied van het moderne Hongarije in Midden-Europa hebben gevestigd. In ruimer verband kan het ook verwijzen naar de cultuur van de Magyaren (Hongaren), een Fins-Oegrisch volk dat zich aan het eind van de negende eeuw vestigde in de streek van het middelste bassin van de Donau."
"184","Spaans","Verwijst naar de cultuur van het huidige Spanje, of in het algemeen naar de culturen die zich ontwikkelden op het Iberisch schiereiland in Zuidwest-Europa. Verwijst ook naar de culturen die zich ontwikkelden onder invloed van de Spaanse kolonisten en hun nakomelingen, in het bijzonder in de culturen van Latijns-Amerika."
"188","Bulgaars","Verwijst naar de cultuur van het hedendaagse Bulgarije, of in het algemeen naar culturen uit de streken van het huidige Bulgarije op de Balkan. Kan ook meer specifiek verwijzen naar de cultuur van de oude Bulgaren, een Finse stam die in de 7de eeuw n. Chr. in Moesia de Slaven versloeg."
"191","Pools","Verwijst naar de cultuur van de moderne natie Polen, of meer algemeen naar de culturen die hetzelfde gebied in Midden-Europa ten zuiden van de Oostzee hebben bewoond."
"205","restaurator","Mensen die verantwoordelijk zijn voor de behandeling, preventieve zorg en het onderzoek gericht op het behoud van het culturele of natuurlijke erfgoed op lange termijn. Zie 'functionarissen van monumentenzorg' voor personen die zich bezighouden met het aanbrengen van veranderingen in een object of structuur om verdere achteruitgang tegen te gaan. Zie 'herstellers' voor degenen die veranderingen aanbrengen in een object of structuur om de staat waarin het zich bevond op een specifiek moment in zijn verleden nauwkeurig te benaderen."
"210","geschiedenis (vakgebied)","Vakgebied dat de chronologische loop van gebeurtenissen bestudeert zoals die een land, gemeenschap, individu, voorwerp of plaats beïnvloeden, gebaseerd op het kritisch bestuderen van bronmaterialen, dat meestal een verklaring biedt voor de oorzaken er van."
"212","School van Fontainebleau",""
"224","Zuid-Nederlands","Cultuur en stijlen van het gebied Vlaanderen, zonder de noordelijke delen van het huidige Nederland. De term wordt meestal alleen gebruikt in de context van cultuur en stijlen vóór de 15e eeuw. Binnen het RKD heeft deze term betrekking op kunst van voor 1800 en op kunstenaars geboren vóór 1775 in de Zuidelijke Nederlanden of elders maar die daar zijn gevormd. Gebruik ""Belgisch"" voor latere kunst en kunstenaars."
"226","Frans","Verwijst naar de cultuur van de moderne natie Frankrijk of meer in het algemeen naar de culturen die hebben bestaan op het grondgebied van dit West-Europese land."
"262","Engels","Verwijst naar de cultuur van het moderne Engeland, of in het algemeen naar de culturen van het zuidelijke deel van het eiland Groot-Brittannië, gewoonlijk met uitsluiting van Wales. De term kan ook verwijzen naar de cultuur van de Angelen, een van de Teutoonse volkeren die zich in Engeland vestigden in de 5de eeuw n. Chr. De term wordt soms gebruikt om te verwijzen naar de cultuur van de gehele natie van het Verenigd Koninkrijk, hoewel Engeland strikt genomen een bestuurlijk onderdeel is van het Verenigd Koninkrijk."
"271","Libanees","Refers to the style and culture of modern Lebanon."
