"notes","term","priref"
"Refers to the culture of the modern nation of the Netherlands, or in general to cultures that have occupied the same area in northwestern Europe along the North Sea. It is often used to distinguish the culture of the northern historic Netherlands from ""Flemish,"" which is the culture of the southern Netherlands or Flanders. It may also be used to refer in general to the culture of Germanic or Teutonic peoples; however, this meaning is seldom found in modern texts. Within the RKD, this term refers to Dutch art after 1800 and artists born after 1775 in the Netherlands or elsewhere but formed there. Use ""North Netherlandish"" for art from before 1800 and for artists born before 1775 in the Netherlands or elsewhere but formed there.","Dutch","1"
"Nationality, style, and culture of the area roughly comparable to the modern Netherlands, not including Flanders, during the period ca. 800 - 1600. Within the RKD, this term refers to art before 1800 and artists born before 1775 in the Northern Netherlands or elsewhere but formed there.","North Netherlandish","4"
"People who practice the art of painting, which is applying pigments suspended in liquid to a surface to create an expressive or communicative image. For people who apply paint primarily to protect or give simple color to a surface, use ""painters (tradespeople).""","painter","6"
"Artists who specialize in making drawings, which are designs formed by lines on a surface, often paper, by using a pencil, pen, chalk, or some other tracing instrument to focus on the delineation of form rather than the application of color.","draftsperson","7"
"Artists who specialize in creating images and forms that are carried out primarily in three dimensions, generally of large or medium size, and in the media of stone, wood, or metal. It may also refer to artists who create relief or intaglio works. For artists who create small works, or for craftsmen who carve three dimensional forms that are not considered art, use ""carvers.""","sculptor","12"
"Those who practice the printing process of engraving. For those who incise marks on the surface of a hard material, not to be printed from, use ""engravers (incisers).""","engraver (printmaker)","40"
"People trained in or practicing architecture, which is the art of designing and building habitable structures, especially those considered to have aesthetic value.","architect","43"
"Refers to the culture of the modern nation of Germany, or in general to the cultures that have occupied the area of the modern nation in central Europe. More broadly, it can refer to the cultures of the ancient groups of related peoples who inhabited central and northern Europe, and who spoke dialects from which the Germanic or Teutonic languages developed.","German","53"
"Refers to the culture of the modern nation of Norway, or in general to the cultures that have occupied the western part of the Scandinavian peninsula in northwestern Europe.","Norwegian","57"
"Refers to the culture of the modern nation of Denmark, or in general to the cultures that have occupied the area of northwestern Europe, north of Germany. It is often used to refer specifically to the cultures of the historic Danes, a Scandinavian branch of the Teutons. It is also sometimes used to refer to the culture of all Scandinavians who invaded England from the 9th century to the 11th century CE.","Danish","64"
"Refers to the culture of the modern nation of Italy, or in general to cultures that have occupied the boot-shaped Italian peninsula in the Mediterranean Sea.","Italian","104"
"Persons engaged in fashion design, includes clothes, accessories, and fashion ensembles.","fashion designer","126"
"Refers to the culture of Belgium, usually the modern nation established in 1830 and defined as the Netherlandish provinces watered by the Meuse and Scheldt rivers. Within the RKD, this term refers to art dating after 1800 and to artists born after 1775 in what is now Belgium or who lived there for an extended period of time. Use ""Southern Netherlandish"" for artists born before 1775 or for art before 1800.","Belgian","147"
"Refers to the culture of the modern nation of Russia, or to the cultures that have occupied the principal lands of historic Russia in eastern Europe and northern and western Asia. It may also be used to refer to the larger group of cultures controlled by the historic Soviet Union.","Russian","174"
"Refers to the culture of the modern nation of Hungary, or in general to the cultures that have occupied the area of modern Hungary in central Europe. More broadly, it may refer to the culture of the Magyars, a Finno-Ugric people who settled in the middle basin of the Danube River in the late ninth century CE.","Hungarian","177"
"Refers to the culture of the modern nation of Spain, or in general to the cultures that developed on the Iberian Peninsula in southwestern Europe.","Spanish","184"
"Refers to the culture of the modern nation of Bulgaria, or in general to cultures that have occupied the area of modern Bulgaria in the Balkans in modern history. For the culture of the ancient Bulgars, use ""Bulgar.""","Bulgarian","188"
"Refers to the culture of the modern nation of Poland, or in general to the cultures that have occupied the same area in central Europe south of the Baltic Sea.","Polish","191"
"People responsible for treatment, preventive care, and research directed toward the long-term safekeeping of cultural and natural heritage. For those engaged in making changes to an object or structure in order to prevent further deterioration, see ""preservationists."" For those who make changes to an object or structure so as to closely approximate its state at a specific time in its past, see ""restorers.""","conservator (restorer)","205"
"Discipline that studies the chronological record of events, such as affecting a nation, community, individual, object, or place, based on a critical examination of source materials and usually presenting an explanation of their causes.","history (speciality)","210"
"Styles and periods of art and architecture during the late Renaissance; flourished at the royal palace at Fontainebleau. Describes work in a variety of media, including painting, sculpture, stuccowork and printmaking produced from the 1530s to the first decade of the 17th century, primarily in France.","Fontainebleau School","212"
"Culture and styles of the area of Flanders, but not including the northern sections of the modern Netherlands; often used only in the context of culture and styles prior to the 15th century. Within the RKD, this term refers to art before 1800 and artists born before 1775 in the Southern Netherlands or elsewhere but formed there. Use ""Belgian"" for later art and artists.","South Netherlandish","224"
"Refers to the culture of the modern nation of France, or in general to cultures that have occupied the area of the modern nation in western Europe.","French","226"
"Refers to the culture of the modern country of England, or in general to cultures that have occupied the southern part of the island of Great Britain, usually excluding Wales. It may refer to the the culture of the Angles, one of the Teutonic peoples who settled in Britain in fifth century CE. The term is occasionally used to refer to the culture of the entire nation of the United Kingdom, although technically England is an administrative subdivision of the United Kingdom.","English","262"
"Verwijst naar de stijl en cultuur van het moderne Libanon.","Lebanese","271"
"Refers to the cultures and styles of Indonesia, reflecting the blend of various regional cultures from the Southeast Asian mainland and Oceania. The style is generally driven by the philosophies of Buddhism, Hinduism, and Islam. Sculptural production in the region generally features megalithic monuments such as menhirs, dolmens, stone sarcophagi, terraced burial mounds, large stones carved into the shape of animals and humans, and stone skull troughs. Early styles of sculpture in the region feature smooth planes, convexity, impassive expressions, and lack of movement. Ornamental works from this region imitate Chinese Chou and pre-Han works and feature bronze drums with molded flanges and relief ornamentation consisting of stylized masks with ear piercings. Indian-influenced works feature intricate bronze Buddhas and bodhisattvas. In architecture, the style features temple complexes known as tjandis and candis.","Indonesian","282"
"Nationality, periods, cultures, and styles found in Japan, either in historical times or in the present.","Japanese","288"
"Designers, engravers, or makers of medals and coins. For workers or craftsmen who press coins in a mint, typically with no input into the design, use ""minters.""","medalist","291"
"Refers to the culture of the modern nation of Austria, or of the culture in central Europe in the area comprising modern Austria.","Austrian","307"
"Refers to the culture of the modern country of Scotland, or in general to cultures that have occupied the northern part of the island of Great Britain.","Scottish","345"
"Refers to the culture of the modern nation of Sweden, or in general to cultures that have occupied the area of the eastern section of the Scandinavian peninsula in northwestern Europe.","Swedish","349"
"Refers to the culture of the modern nation of Switzerland, or in general to cultures that have occupied the Alpine region of northwestern Europe, north of Italy and west of Austria.","Swiss","356"
"Painters who create images or decoration on the front or reverse of glass pieces or sheets. Examples are stained glass artists who paint images on the glass, especially the smaller details, such as faces of figures, on windows and panels. To refer to craftsmen who stain glass, use ""glass stainers.""","glass painter","363"
"Refers to the culture and styles of the Turks, who comprise various ethnic groups that historically lived a nomadic life on the vast Eurasian steppe and spoke Turkic languages, or Turkey, which is a nation in Asia Minor and southeastern Europe, having coastlines on the Aegean, Black, and Mediterranean seas.","Turkish","366"
"Painters in the service of a royal or noble court.","court painter","388"
"Representations of ports on the sea or in a river, consisting of a quay and surrounding buildings, where ships dock or may dock.","harbor view","468"
"","Düsseldorfer Malerschule","471"
"Persons who engage in ceramic arts, manufacturing, or technology.","ceramicist","496"
"Refers to the culture of the modern nation of Romania, or in general to the cultures that have occupied the same area of southeastern Europe west of the Black Sea. It is occasionally also used to refer to the culture of the Romany or gypsies.","Romanian","504"
"Of or belonging to the nation of Argentina or its people.","Argentine","515"
"Depictions of humans hunting animals, possibly with the help of other animals such as dogs and falcons, as well as depictions of hunting by animals among themselves.","hunting scene","547"
"Describes culture and works created by the inhabitants of New Zealand, particularly the modern nation of New Zealand","New Zealand","581"
"Persons who engage in a particular pursuit, study, or science as a pastime rather than as a profession.","amateur","609"
"For the modern nation, use with reference to post-1948 things, people, and events.","Israeli","624"
"The culture and nationality of the people in the current nation of Canada.","Canadian","686"
"Culture and style of peoples from the East Asian peninsula of Korea.","Korean","718"
"Refers to the culture of the modern nation of Portugal, or in general to the cultures that have occupied the same area in the western part of the Iberian Peninsula.","Portuguese","791"
"Refers to the culture of Armenia roughly corresponding to the area of modern Armenia and central and eastern Turkey, particularly between the 4th and 7th centuries during the so called classical period of Armenian art.","Armenian (ancient style and culture)","812"
"Of or belonging to the nation of Brazil or its people.","Brazilian","841"
"Culture and nationality of the nation of Mexico or its people.","Mexican","879"
"Refers to the culture of the modern nation of Finland, or in general to cultures that have occupied the area of northern Europe, south of Norway and east of the Gulf of Bothnia. It may also be used to refer specifically to the culture of the historical Finns, who are generally understood to have been the Suomi or Suomelaisset and who spoke a language of the Ural-Altaic class. It may also refer more widely to the cultures of other peoples closely allied ethnically and linguistically to the Suomi.","Finnish","891"
"Style and culture of the people of South Africa.","South African","908"
"","Cossack (style or culture)","919"
"Representations of members from all ranks of the military, both in office and out.","military genre","920"
"Nationality, styles, and culture of the modern nation of India, or more broadly to cultures that developed on the subcontinent of India, which is bounded by the Arabian Sea, the Indian Ocean, the Bay of Bengal, and the Himalayn Mountains. It may also refer even more broadly to cultures of India, the East Indies, and the former British Indian Empire. It was formerly used less specifically to refer to any Oriental or Asian culture. Do not use this term to refer to the indigenous populations of North or South America; see ""Native American"" or other appropriate terms.""","Indian","921"
"Style and culture of the people of Algeria or Algiers, in northern Africa.","Algerian","993"
"The style and culture of the country of Tunisia in North Africa, of its capital Tunis, of the former Barbary state of Tunis that preceded it, or of speakers of the demotic speech of the area.","Tunisian","1001"
"Style and culture of the nation of Morocco or its historical counterparts.","Moroccan","1006"
